iter	Passed	Remaining
0	125	125307
1	126	63037
2	132	43926
3	132	33069
4	133	26589
5	134	22235
6	134	19121
7	135	16787
8	136	14980
9	136	13515
10	137	12355
11	138	11362
12	138	10543
13	140	9867
14	140	9238
15	141	8699
16	142	8213
17	142	7782
18	143	7389
19	144	7066
20	144	6743
21	145	6454
22	145	6193
23	146	5948
24	146	5720
25	147	5515
26	147	5326
27	148	5147
28	148	4980
29	149	4824
30	149	4682
31	150	4545
32	151	4431
33	152	4327
34	153	4228
35	154	4125
36	154	4026
37	155	3931
38	155	3841
39	156	3755
40	157	3673
41	157	3592
42	158	3522
43	158	3450
44	159	3385
45	160	3319
46	160	3258
47	161	3197
48	161	3138
49	162	3083
50	162	3030
51	163	2983
52	164	2934
53	164	2886
54	165	2841
55	165	2797
56	166	2755
57	167	2717
58	168	2682
59	168	2644
60	169	2609
61	170	2577
62	171	2543
63	171	2510
64	172	2477
65	172	2445
66	173	2414
67	173	2380
68	174	2348
69	174	2319
70	175	2290
71	175	2264
72	176	2237
73	176	2210
74	177	2185
75	177	2161
76	178	2139
77	179	2117
78	179	2092
79	179	2069
80	180	2049
81	181	2036
82	182	2017
83	183	1998
84	183	1976
85	184	1956
86	184	1936
87	185	1918
88	185	1900
89	186	1881
90	186	1864
91	187	1847
92	187	1829
93	188	1813
94	188	1797
95	189	1781
96	189	1766
97	190	1751
98	190	1736
99	191	1722
100	191	1708
101	192	1691
102	192	1677
103	193	1665
104	193	1653
105	194	1640
106	195	1628
107	195	1617
108	196	1606
109	197	1594
110	197	1583
111	198	1572
112	198	1561
113	199	1550
114	200	1540
115	200	1529
116	201	1519
117	201	1508
118	202	1497
119	202	1487
120	203	1478
121	204	1470
122	204	1458
123	205	1449
124	205	1439
125	206	1429
126	206	1421
127	207	1411
128	207	1402
129	208	1394
130	208	1385
131	209	1377
132	210	1369
133	210	1363
134	211	1355
135	212	1348
136	213	1342
137	213	1334
138	214	1327
139	214	1319
140	215	1313
141	216	1307
142	216	1300
143	217	1293
144	218	1286
145	218	1280
146	219	1274
147	220	1268
148	220	1261
149	221	1254
150	222	1248
151	222	1242
152	223	1235
153	223	1229
154	224	1223
155	224	1217
156	225	1212
157	226	1206
158	227	1201
159	227	1195
160	228	1190
161	229	1185
162	229	1179
163	230	1174
164	230	1168
165	231	1164
166	232	1159
167	233	1154
168	233	1149
169	234	1144
170	234	1139
171	235	1134
172	236	1129
173	236	1123
174	237	1119
175	238	1114
176	238	1109
177	239	1104
178	239	1099
179	240	1094
180	240	1088
181	241	1085
182	242	1080
183	242	1077
184	243	1072
185	244	1068
186	245	1065
187	245	1061
188	246	1057
189	247	1053
190	247	1049
191	248	1044
192	248	1040
193	249	1036
194	250	1032
195	250	1028
196	251	1024
197	252	1021
198	252	1017
199	253	1013
200	254	1009
201	254	1007
202	255	1003
203	256	999
204	256	996
205	257	992
206	258	989
207	259	986
208	259	983
209	260	980
210	261	977
211	261	973
212	262	970
213	263	966
214	263	963
215	264	960
216	265	956
217	265	952
218	266	949
219	266	946
220	267	942
221	268	939
222	268	936
223	269	933
224	270	930
225	270	926
226	271	924
227	272	921
228	272	918
229	273	916
230	274	912
231	274	910
232	275	907
233	276	904
234	276	901
235	277	898
236	278	895
237	278	893
238	279	889
239	280	886
240	280	883
241	281	880
242	281	878
243	282	875
244	283	872
245	283	869
246	284	866
247	284	863
248	285	861
249	286	858
250	287	856
251	287	853
252	288	851
253	289	849
254	289	846
255	290	844
256	291	842
257	292	840
258	293	838
259	293	836
260	294	833
261	295	831
262	295	828
263	296	826
264	297	824
265	297	822
266	298	820
267	299	818
268	300	816
269	301	815
270	302	813
271	303	811
272	304	809
273	304	807
274	305	805
275	306	803
276	306	801
277	307	798
278	308	796
279	308	794
280	309	792
281	310	790
282	310	787
283	311	785
284	312	783
285	312	780
286	313	778
287	313	776
288	314	773
289	315	771
290	316	769
291	316	768
292	317	766
293	318	764
294	319	762
295	320	761
296	320	758
297	321	757
298	322	755
299	322	752
300	323	750
301	323	748
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	328	736
308	328	734
309	329	732
310	330	731
311	330	729
312	331	727
313	332	726
314	333	724
315	334	723
316	335	721
317	335	719
318	336	718
319	337	716
320	337	714
321	338	712
322	338	710
323	339	708
324	340	706
325	341	705
326	341	702
327	342	701
328	342	699
329	343	697
330	344	695
331	344	693
332	345	692
333	346	690
334	347	689
335	347	687
336	348	685
337	349	684
338	349	682
339	350	680
340	351	678
341	351	676
342	352	675
343	353	673
344	353	671
345	354	670
346	355	668
347	355	666
348	356	664
349	357	663
350	357	661
351	358	659
352	358	657
353	359	656
354	360	654
355	360	652
356	361	650
357	362	649
358	362	647
359	363	646
360	364	644
361	364	642
362	365	641
363	365	639
364	366	637
365	367	636
366	367	634
367	368	632
368	369	631
369	369	629
370	370	627
371	370	625
372	371	624
373	371	622
374	372	621
375	373	619
376	374	618
377	374	617
378	375	615
379	376	614
380	377	612
381	378	612
382	379	611
383	380	609
384	380	608
385	381	607
386	382	605
387	382	604
388	383	602
389	384	601
390	385	600
391	386	599
392	387	597
393	387	596
394	388	594
395	388	593
396	389	591
397	390	590
398	391	589
399	391	587
400	392	586
401	393	585
402	394	584
403	395	582
404	395	581
405	396	580
406	397	578
407	398	577
408	398	576
409	399	574
410	406	582
411	407	581
412	408	580
413	408	578
414	409	577
415	410	575
416	410	574
417	411	573
418	412	572
419	413	570
420	414	569
421	414	568
422	415	566
423	416	565
424	416	563
425	417	562
426	417	560
427	418	559
428	419	557
429	419	556
430	420	554
431	420	553
432	421	551
433	422	550
434	422	549
435	423	548
436	424	546
437	424	545
438	425	543
439	426	542
440	426	541
441	427	539
442	428	538
443	429	537
444	429	536
445	430	534
446	431	533
447	432	532
448	432	531
449	433	529
450	434	528
451	434	526
452	435	525
453	436	524
454	436	523
455	437	522
456	438	520
457	439	519
458	439	518
459	440	517
460	441	515
461	441	514
462	442	513
463	443	512
464	444	511
465	445	509
466	445	508
467	446	507
468	447	506
469	447	504
470	448	503
471	449	502
472	449	500
473	450	499
474	450	498
475	451	497
476	452	495
477	452	494
478	453	493
479	454	492
480	455	491
481	455	489
482	456	488
483	457	487
484	458	486
485	458	485
486	459	483
487	459	482
488	460	481
489	461	480
490	461	478
491	462	477
492	463	476
493	463	474
494	464	473
495	465	472
496	465	471
497	466	470
498	467	468
499	467	467
500	468	466
501	469	465
502	469	464
503	470	463
504	471	462
505	472	460
506	472	459
507	473	458
508	474	457
509	474	456
510	475	454
511	475	453
512	476	452
513	477	451
514	477	449
515	478	448
516	478	447
517	479	446
518	479	444
519	480	443
520	481	442
521	481	441
522	482	440
523	483	438
524	483	437
525	484	436
526	485	435
527	486	434
528	486	433
529	487	432
530	488	431
531	488	429
532	489	428
533	490	427
534	490	426
535	491	425
536	492	424
537	493	423
538	493	422
539	494	420
540	494	419
541	495	418
542	496	417
543	497	416
544	498	415
545	498	414
546	499	413
547	500	412
548	500	411
549	501	410
550	502	409
551	502	407
552	503	406
553	503	405
554	504	404
555	505	403
556	505	402
557	506	401
558	507	400
559	508	399
560	508	398
561	509	397
562	510	396
563	510	395
564	511	393
565	512	392
566	513	391
567	513	390
568	514	389
569	515	388
570	516	387
571	517	387
572	518	386
573	519	385
574	519	384
575	520	383
576	521	382
577	521	380
578	522	379
579	522	378
580	523	377
581	524	376
582	524	375
583	525	374
584	526	373
585	526	372
586	527	371
587	528	370
588	529	369
589	529	368
590	530	367
591	531	366
592	531	365
593	532	364
594	533	363
595	533	361
